Seconds (synced)	Acc x	Acc y	Acc z
5.00155	-71.28125	-41.171875	1008.53125
5.009569	-71.289062	-41.269531	1008.785156
5.017588	-71.253906	-41.089844	1008.988281
5.025607	-71.335938	-41.164062	1008.613281
5.033626	-71.242188	-41.160156	1008.675781
5.041645	-71.28125	-41.171875	1008.742188
5.049664	-71.253906	-41.199219	1008.878906
5.057683	-71.109375	-41.347656	1008.964844
5.065702	-71.269531	-41.289062	1008.710938
5.073721	-71.328125	-41.285156	1008.722656
5.08174	-71.15625	-41.113281	1009.039063
5.089759	-71.316406	-41.292969	1008.914062
5.097778	-71.207031	-41.308594	1008.828125
5.105797	-71.195312	-41.179688	1009.179688
5.113816	-71.25	-41.03125	1009.027344
5.121835	-71.210938	-41.257812	1008.914062
5.129854	-71.398438	-41.328125	1008.769531
5.137873	-71.339844	-41.34375	1008.746094
5.145892	-71.335938	-41.316406	1008.933594
5.153911	-71.449219	-41.246094	1008.957031
5.16193	-71.285156	-41.222656	1008.816406
5.169949	-71.277344	-41.253906	1008.523438
5.177968	-71.191406	-41.269531	1008.546875
5.185987	-71.007812	-41.246094	1008.75
5.194006	-71.128906	-41.238281	1008.585937
5.202025	-71.242188	-41.171875	1008.949219
5.210044	-71.210938	-41.359375	1008.828125
5.218063	-71.257812	-41.269531	1008.757813
5.226082	-71.421875	-41.199219	1008.9375
5.234101	-71.085938	-41.253906	1008.542969
5.24212	-71.285156	-41.367188	1008.753906
5.250139	-71.214844	-41.144531	1008.945313
5.258158	-71.078125	-41.046875	1008.835938
5.266177	-71.203125	-41.105469	1008.914062
5.274196	-71.183594	-41.339844	1008.761719
5.282215	-71.257812	-41.332031	1008.773437
5.290234	-71.121094	-41.242188	1008.652344
5.298253	-71.183594	-41.25	1008.484375
5.306272	-71.246094	-41.105469	1008.785156
5.314291	-71.167969	-41.199219	1008.90625
5.32231	-71.15625	-41.265625	1008.726562
5.330329	-71.082031	-41.265625	1008.894531
5.338348	-71.085938	-41.222656	1008.890625
5.346367	-71.273438	-41.324219	1008.773437
5.354386	-71.304688	-41.3125	1008.835938
5.362405	-71.164062	-41.238281	1008.800781
5.370424	-71.164062	-41.367188	1009.101562
5.378443	-71.089844	-41.558594	1008.851563
5.386462	-71.171875	-41.171875	1008.925781
5.394481	-71.40625	-41.210938	1008.917969
5.4025	-71.292969	-41.214844	1008.839844
5.410519	-71.351562	-41.363281	1008.839844
5.418538	-71.039062	-41.285156	1008.761719
5.426557	-71.214844	-41.253906	1008.988281
5.434576	-71.117188	-41.167969	1009.074219
5.442595	-71.148438	-41.070312	1009.050781
5.450614	-71.117188	-40.976562	1009.019531
5.458633	-71.066406	-41.136719	1008.863281
5.466652	-71.121094	-41.171875	1008.703125
5.474671	-71.3125	-41.203125	1008.78125
5.48269	-71.21875	-41.246094	1008.664063
5.490709	-71.257812	-41.152344	1008.867187
5.498728	-71.246094	-41.113281	1008.695312
5.506747	-71.242188	-41.105469	1008.488281
5.514766	-71.171875	-41.148438	1008.609375
5.522785	-71.382812	-41.015625	1008.804688
5.530804	-71.164062	-41.21875	1008.882812
5.538823	-71.425781	-41.335938	1008.847656
5.546842	-71.375	-41.230469	1008.847656
5.554861	-71.324219	-41.066406	1008.765625
5.56288	-71.183594	-41.0	1008.941406
5.570899	-71.222656	-41.203125	1008.960937
5.578918	-71.25	-41.25	1008.992188
5.586937	-71.304688	-41.085938	1009.074219
5.594956	-71.121094	-41.1875	1008.898438
5.602975	-71.289062	-41.234375	1008.796875
5.610994	-71.347656	-41.269531	1008.90625
5.619013	-71.246094	-41.34375	1008.957031
5.627032	-71.226562	-41.179688	1008.910156
5.635051	-71.164062	-41.222656	1008.890625
5.64307	-71.238281	-41.265625	1009.089844
5.651089	-71.269531	-41.402344	1008.773437
5.659108	-71.296875	-41.382812	1008.628906
5.667127	-71.28125	-41.140625	1008.902344
5.675146	-71.21875	-41.261719	1008.960937
5.683165	-71.304688	-41.070312	1008.882812
5.691184	-71.203125	-41.148438	1008.8125
5.699203	-71.15625	-41.25	1009.0
5.707222	-71.273438	-41.382812	1008.902344
5.715241	-71.253906	-41.378906	1009.039063
5.72326	-71.207031	-41.261719	1009.199219
5.731279	-71.121094	-41.308594	1008.972656
5.739298	-71.15625	-41.382812	1008.894531
5.747317	-71.191406	-41.445312	1008.710938
5.755336	-71.160156	-41.253906	1008.671875
5.763355	-71.042969	-41.332031	1008.667969
5.771374	-71.214844	-41.265625	1008.578125
5.779393	-71.4375	-41.222656	1008.929688
5.787412	-71.425781	-41.261719	1008.8125
5.795431	-71.234375	-41.179688	1008.769531
5.80345	-71.257812	-41.175781	1008.8125
5.811469	-71.089844	-41.175781	1009.082031
5.819488	-71.273438	-41.253906	1009.160156
5.827507	-71.300781	-41.292969	1008.925781
5.835526	-71.101562	-41.113281	1009.03125
5.843545	-71.207031	-41.109375	1009.226563
5.851564	-71.28125	-41.226562	1008.914062
5.859583	-71.199219	-41.199219	1008.746094
5.867602	-71.3125	-41.085938	1008.84375
5.875621	-71.316406	-41.203125	1008.992188
5.88364	-71.367188	-41.144531	1009.140625
5.891659	-71.253906	-41.027344	1009.113281
5.899678	-71.089844	-41.183594	1008.964844
5.907697	-71.1875	-41.214844	1009.0
5.915716	-71.167969	-41.214844	1008.847656
5.923735	-71.304688	-41.234375	1009.003906
5.931754	-71.230469	-41.207031	1009.125
5.939773	-71.269531	-41.140625	1009.039063
5.947792	-71.34375	-41.105469	1009.054687
5.955811	-71.195312	-41.074219	1008.832031
5.96383	-71.148438	-41.003906	1008.996094
5.971849	-71.136719	-40.984375	1008.960937
5.979868	-71.191406	-41.097656	1009.304688
5.987887	-71.167969	-41.105469	1009.363281
5.995906	-71.136719	-41.242188	1009.113281
6.003884	-71.152344	-41.253906	1009.09375
