Date	Time	Seconds (zeroed)	Seconds (synced)	Acc x	Acc y	Acc z
23/10/2024	13:23:22.545467	0.000000	3.000050	-62.414062	-26.671875	1001.769531
23/10/2024	13:23:22.553470	0.008003	3.008053	-62.378906	-26.816406	1001.773438
23/10/2024	13:23:22.561473	0.016006	3.016056	-62.250000	-26.542969	1002.027344
23/10/2024	13:23:22.569476	0.024009	3.024059	-62.328125	-26.613281	1001.757812
23/10/2024	13:23:22.577479	0.032012	3.032062	-62.277344	-26.714844	1001.691406
23/10/2024	13:23:22.585482	0.040015	3.040065	-62.296875	-26.593750	1001.769531
23/10/2024	13:23:22.593485	0.048018	3.048068	-62.500000	-26.636719	1001.847656
23/10/2024	13:23:22.601488	0.056021	3.056071	-62.460938	-26.601562	1002.062500
23/10/2024	13:23:22.609491	0.064024	3.064074	-62.257812	-26.679688	1001.773438
23/10/2024	13:23:22.617494	0.072027	3.072077	-62.351562	-26.765625	1002.000000
23/10/2024	13:23:22.625497	0.080030	3.080080	-62.335938	-26.554688	1001.902344
23/10/2024	13:23:22.633500	0.088033	3.088083	-62.375000	-26.542969	1001.867188
23/10/2024	13:23:22.641503	0.096036	3.096086	-62.390625	-26.457031	1001.914062
23/10/2024	13:23:22.649506	0.104039	3.104089	-62.281250	-26.652344	1001.886719
23/10/2024	13:23:22.657509	0.112042	3.112092	-62.363281	-26.566406	1002.042969
23/10/2024	13:23:22.665512	0.120045	3.120095	-62.511719	-26.792969	1002.039062
23/10/2024	13:23:22.673515	0.128048	3.128098	-62.535156	-26.609375	1002.023437
23/10/2024	13:23:22.681518	0.136051	3.136101	-62.417969	-26.472656	1001.910156
23/10/2024	13:23:22.689521	0.144054	3.144104	-62.332031	-26.628906	1002.121094
23/10/2024	13:23:22.697524	0.152057	3.152107	-62.496094	-26.582031	1001.890625
23/10/2024	13:23:22.705527	0.160060	3.160110	-62.476562	-26.664062	1001.988281
23/10/2024	13:23:22.713530	0.168063	3.168113	-62.523438	-26.566406	1001.863281
23/10/2024	13:23:22.721533	0.176066	3.176116	-62.437500	-26.570312	1001.824219
23/10/2024	13:23:22.729536	0.184069	3.184119	-62.476562	-26.527344	1001.906250
23/10/2024	13:23:22.737539	0.192072	3.192122	-62.464844	-26.480469	1002.144531
23/10/2024	13:23:22.745542	0.200075	3.200125	-62.449219	-26.687500	1001.984375
23/10/2024	13:23:22.753545	0.208078	3.208128	-62.386719	-26.742188	1002.046875
23/10/2024	13:23:22.761548	0.216081	3.216131	-62.222656	-26.566406	1002.089844
23/10/2024	13:23:22.769551	0.224084	3.224134	-62.296875	-26.703125	1001.890625
23/10/2024	13:23:22.777554	0.232087	3.232137	-62.484375	-26.722656	1001.964844
23/10/2024	13:23:22.785557	0.240090	3.240140	-62.546875	-26.851562	1001.914062
23/10/2024	13:23:22.793560	0.248093	3.248143	-62.496094	-26.753906	1002.105469
23/10/2024	13:23:22.801563	0.256096	3.256146	-62.437500	-26.785156	1001.761719
23/10/2024	13:23:22.809566	0.264099	3.264149	-62.222656	-26.468750	1001.972656
23/10/2024	13:23:22.817569	0.272102	3.272152	-62.421875	-26.531250	1001.890625
23/10/2024	13:23:22.825572	0.280105	3.280155	-62.488281	-26.671875	1002.167969
23/10/2024	13:23:22.833575	0.288108	3.288158	-62.453125	-26.687500	1001.949219
23/10/2024	13:23:22.841578	0.296111	3.296161	-62.464844	-26.539062	1002.003906
23/10/2024	13:23:22.849581	0.304114	3.304164	-62.257812	-26.738281	1002.054688
23/10/2024	13:23:22.857584	0.312117	3.312167	-62.332031	-26.628906	1002.167969
23/10/2024	13:23:22.865587	0.320120	3.320170	-62.484375	-26.621094	1002.386719
23/10/2024	13:23:22.873590	0.328123	3.328173	-62.332031	-26.617188	1002.082031
23/10/2024	13:23:22.881593	0.336126	3.336176	-62.335938	-26.617188	1002.015625
23/10/2024	13:23:22.889596	0.344129	3.344179	-62.542969	-26.628906	1002.019531
23/10/2024	13:23:22.897599	0.352132	3.352182	-62.425781	-26.578125	1002.000000
23/10/2024	13:23:22.905602	0.360135	3.360185	-62.378906	-26.648438	1001.789063
23/10/2024	13:23:22.913605	0.368138	3.368188	-62.335938	-26.597656	1002.042969
23/10/2024	13:23:22.921608	0.376141	3.376191	-62.414062	-26.558594	1002.164062
23/10/2024	13:23:22.929611	0.384144	3.384194	-62.347656	-26.648438	1001.859375
23/10/2024	13:23:22.937614	0.392147	3.392197	-62.375000	-26.660156	1002.027344
23/10/2024	13:23:22.945617	0.400150	3.400200	-62.460938	-26.410156	1001.761719
23/10/2024	13:23:22.953620	0.408153	3.408203	-62.390625	-26.554688	1001.968750
23/10/2024	13:23:22.961623	0.416156	3.416206	-62.500000	-26.710938	1002.144531
23/10/2024	13:23:22.969626	0.424159	3.424209	-62.589844	-26.597656	1002.066406
23/10/2024	13:23:22.977629	0.432162	3.432212	-62.449219	-26.597656	1002.007812
23/10/2024	13:23:22.985632	0.440165	3.440215	-62.410156	-26.648438	1001.976562
23/10/2024	13:23:22.993635	0.448168	3.448218	-62.535156	-26.605469	1002.070312
23/10/2024	13:23:23.001638	0.456171	3.456221	-62.406250	-26.515625	1002.066406
23/10/2024	13:23:23.009641	0.464174	3.464224	-62.296875	-26.625000	1002.027344
23/10/2024	13:23:23.017644	0.472177	3.472227	-62.394531	-26.660156	1001.812500
23/10/2024	13:23:23.025647	0.480180	3.480230	-62.410156	-26.589844	1002.054688
23/10/2024	13:23:23.033650	0.488183	3.488233	-62.316406	-26.644531	1002.109375
23/10/2024	13:23:23.041653	0.496186	3.496236	-62.445312	-26.699219	1001.960938
23/10/2024	13:23:23.049656	0.504189	3.504239	-62.519531	-26.621094	1002.042969
23/10/2024	13:23:23.057659	0.512192	3.512242	-62.511719	-26.812500	1001.980469
23/10/2024	13:23:23.065662	0.520195	3.520245	-62.304688	-26.746094	1001.882813
23/10/2024	13:23:23.073665	0.528198	3.528248	-62.328125	-26.593750	1002.156250
23/10/2024	13:23:23.081668	0.536201	3.536251	-62.449219	-26.835938	1001.898438
23/10/2024	13:23:23.089671	0.544204	3.544254	-62.363281	-26.835938	1001.968750
23/10/2024	13:23:23.097674	0.552207	3.552257	-62.343750	-26.839844	1001.929688
23/10/2024	13:23:23.105677	0.560210	3.560260	-62.250000	-26.796875	1002.042969
23/10/2024	13:23:23.113680	0.568213	3.568263	-62.363281	-26.714844	1001.976562
23/10/2024	13:23:23.121683	0.576216	3.576266	-62.316406	-26.683594	1002.167969
23/10/2024	13:23:23.129686	0.584219	3.584269	-62.457031	-26.511719	1002.035156
23/10/2024	13:23:23.137689	0.592222	3.592272	-62.449219	-26.625000	1001.878906
23/10/2024	13:23:23.145692	0.600225	3.600275	-62.546875	-26.562500	1001.992188
23/10/2024	13:23:23.153695	0.608228	3.608278	-62.335938	-26.644531	1002.058594
23/10/2024	13:23:23.161698	0.616231	3.616281	-62.394531	-26.632812	1001.910156
23/10/2024	13:23:23.169701	0.624234	3.624284	-62.410156	-26.539062	1001.945312
23/10/2024	13:23:23.177704	0.632237	3.632287	-62.246094	-26.562500	1001.863281
23/10/2024	13:23:23.185707	0.640240	3.640290	-62.324219	-26.554688	1001.972656
23/10/2024	13:23:23.193710	0.648243	3.648293	-62.230469	-26.722656	1002.000000
23/10/2024	13:23:23.201713	0.656246	3.656296	-62.328125	-26.742188	1002.058594
23/10/2024	13:23:23.209716	0.664249	3.664299	-62.429688	-26.625000	1002.085938
23/10/2024	13:23:23.217719	0.672252	3.672302	-62.519531	-26.691406	1002.183594
23/10/2024	13:23:23.225722	0.680255	3.680305	-62.304688	-26.746094	1002.027344
23/10/2024	13:23:23.233725	0.688258	3.688308	-62.390625	-26.476562	1002.031250
23/10/2024	13:23:23.241728	0.696261	3.696311	-62.410156	-26.613281	1001.980469
23/10/2024	13:23:23.249731	0.704264	3.704314	-62.273438	-26.644531	1001.832031
23/10/2024	13:23:23.257734	0.712267	3.712317	-62.445312	-26.632812	1001.972656
23/10/2024	13:23:23.265737	0.720270	3.720320	-62.386719	-26.722656	1001.960938
23/10/2024	13:23:23.273740	0.728273	3.728323	-62.539063	-26.792969	1002.050781
23/10/2024	13:23:23.281743	0.736276	3.736326	-62.500000	-26.613281	1002.281250
23/10/2024	13:23:23.289746	0.744279	3.744329	-62.453125	-26.652344	1002.007812
23/10/2024	13:23:23.297749	0.752282	3.752332	-62.386719	-26.578125	1002.039062
23/10/2024	13:23:23.305752	0.760285	3.760335	-62.378906	-26.675781	1001.863281
23/10/2024	13:23:23.313755	0.768288	3.768338	-62.433594	-26.703125	1001.882813
23/10/2024	13:23:23.321758	0.776291	3.776341	-62.375000	-26.542969	1001.976562
23/10/2024	13:23:23.329761	0.784294	3.784344	-62.375000	-26.644531	1001.976562
23/10/2024	13:23:23.337764	0.792297	3.792347	-62.398438	-26.582031	1001.980469
23/10/2024	13:23:23.345767	0.800300	3.800350	-62.292969	-26.664062	1001.945312
23/10/2024	13:23:23.353770	0.808303	3.808353	-62.386719	-26.757812	1001.941406
23/10/2024	13:23:23.361773	0.816306	3.816356	-62.593750	-26.496094	1002.082031
23/10/2024	13:23:23.369776	0.824309	3.824359	-62.437500	-26.609375	1002.156250
23/10/2024	13:23:23.377779	0.832312	3.832362	-62.539063	-26.695312	1002.097656
23/10/2024	13:23:23.385782	0.840315	3.840365	-62.500000	-26.535156	1001.984375
23/10/2024	13:23:23.393785	0.848318	3.848368	-62.652344	-26.632812	1002.042969
23/10/2024	13:23:23.401788	0.856321	3.856371	-62.496094	-26.550781	1001.976562
23/10/2024	13:23:23.409791	0.864324	3.864374	-62.417969	-26.628906	1001.808594
23/10/2024	13:23:23.417794	0.872327	3.872377	-62.386719	-26.617188	1002.050781
23/10/2024	13:23:23.425797	0.880330	3.880380	-62.562500	-26.582031	1001.855469
23/10/2024	13:23:23.433800	0.888333	3.888383	-62.394531	-26.601562	1001.832031
23/10/2024	13:23:23.441803	0.896336	3.896386	-62.292969	-26.753906	1002.042969
23/10/2024	13:23:23.449806	0.904339	3.904389	-62.277344	-26.781250	1002.132812
23/10/2024	13:23:23.457809	0.912342	3.912392	-62.417969	-26.691406	1002.332031
23/10/2024	13:23:23.465812	0.920345	3.920395	-62.417969	-26.656250	1002.101562
23/10/2024	13:23:23.473815	0.928348	3.928398	-62.394531	-26.640625	1002.140625
23/10/2024	13:23:23.481818	0.936351	3.936401	-62.480469	-26.621094	1002.003906
23/10/2024	13:23:23.489821	0.944354	3.944404	-62.375000	-26.742188	1001.941406
23/10/2024	13:23:23.497824	0.952357	3.952407	-62.441406	-26.789062	1002.078125
23/10/2024	13:23:23.505827	0.960360	3.960410	-62.480469	-26.359375	1001.949219
23/10/2024	13:23:23.513830	0.968363	3.968413	-62.308594	-26.417969	1001.882813
23/10/2024	13:23:23.521833	0.976366	3.976416	-62.316406	-26.722656	1001.761719
23/10/2024	13:23:23.529836	0.984369	3.984419	-62.437500	-26.679688	1001.703125
23/10/2024	13:23:23.537839	0.992372	3.992422	-62.425781	-26.617188	1001.929688
23/10/2024	13:23:23.545867	1.000400	4.000450	-62.476562	-26.640625	1001.878906
23/10/2024	13:23:23.553870	1.008403	4.008453	-62.406250	-26.550781	1002.031250
