Date	Time	Seconds (zeroed)	Seconds (synced)	Acc x	Acc y	Acc z
23/10/2024	13:23:21.544967	0.000000	1.999550	 86.355469	-68.609375	983.335938
23/10/2024	13:23:21.552957	0.007990	2.007540	 86.488281	-68.457031	983.296875
23/10/2024	13:23:21.560947	0.015980	2.015530	 86.507812	-68.460938	983.230469
23/10/2024	13:23:21.568937	0.023970	2.023520	 86.464844	-68.492188	983.472656
23/10/2024	13:23:21.576927	0.031960	2.031510	 86.402344	-68.429688	983.660156
23/10/2024	13:23:21.584917	0.039950	2.039500	 86.406250	-68.648438	983.429688
23/10/2024	13:23:21.592907	0.047940	2.047490	 86.351562	-68.496094	983.574219
23/10/2024	13:23:21.600897	0.055930	2.055480	 86.421875	-68.503906	983.382812
23/10/2024	13:23:21.608887	0.063920	2.063470	 86.304688	-68.335938	983.628906
23/10/2024	13:23:21.616877	0.071910	2.071460	 86.308594	-68.535156	983.425781
23/10/2024	13:23:21.624867	0.079900	2.079450	 86.363281	-68.652344	983.285156
23/10/2024	13:23:21.632857	0.087890	2.087440	 86.375000	-68.527344	983.476562
23/10/2024	13:23:21.640847	0.095880	2.095430	 86.453125	-68.437500	983.476562
23/10/2024	13:23:21.648837	0.103870	2.103420	 86.480469	-68.546875	983.523438
23/10/2024	13:23:21.656827	0.111860	2.111410	 86.453125	-68.636719	983.296875
23/10/2024	13:23:21.664817	0.119850	2.119400	 86.386719	-68.492188	983.355469
23/10/2024	13:23:21.672807	0.127840	2.127390	 86.570312	-68.500000	983.554688
23/10/2024	13:23:21.680797	0.135830	2.135380	 86.570312	-68.511719	983.656250
23/10/2024	13:23:21.688787	0.143820	2.143370	 86.445312	-68.609375	983.433594
23/10/2024	13:23:21.696777	0.151810	2.151360	 86.292969	-68.589844	983.199219
23/10/2024	13:23:21.704767	0.159800	2.159350	 86.445312	-68.601562	983.628906
23/10/2024	13:23:21.712757	0.167790	2.167340	 86.476562	-68.398438	983.484375
23/10/2024	13:23:21.720747	0.175780	2.175330	 86.566406	-68.484375	983.515625
23/10/2024	13:23:21.728737	0.183770	2.183320	 86.625000	-68.632812	983.429688
23/10/2024	13:23:21.736727	0.191760	2.191310	 86.375000	-68.625000	983.375000
23/10/2024	13:23:21.744717	0.199750	2.199300	 86.312500	-68.503906	983.503906
23/10/2024	13:23:21.752707	0.207740	2.207290	 86.433594	-68.417969	983.554688
23/10/2024	13:23:21.760697	0.215730	2.215280	 86.437500	-68.492188	983.664062
23/10/2024	13:23:21.768687	0.223720	2.223270	 86.371094	-68.519531	983.398438
23/10/2024	13:23:21.776677	0.231710	2.231260	 86.273438	-68.496094	983.253906
23/10/2024	13:23:21.784667	0.239700	2.239250	 86.468750	-68.503906	983.531250
23/10/2024	13:23:21.792657	0.247690	2.247240	 86.441406	-68.390625	983.527344
23/10/2024	13:23:21.800647	0.255680	2.255230	 86.375000	-68.500000	983.613281
23/10/2024	13:23:21.808637	0.263670	2.263220	 86.308594	-68.339844	983.546875
23/10/2024	13:23:21.816627	0.271660	2.271210	 86.359375	-68.457031	983.554688
23/10/2024	13:23:21.824617	0.279650	2.279200	 86.472656	-68.503906	983.312500
23/10/2024	13:23:21.832607	0.287640	2.287190	 86.390625	-68.648438	983.640625
23/10/2024	13:23:21.840597	0.295630	2.295180	 86.398438	-68.523438	983.746094
23/10/2024	13:23:21.848587	0.303620	2.303170	 86.425781	-68.414062	983.558594
23/10/2024	13:23:21.856577	0.311610	2.311160	 86.488281	-68.578125	983.394531
23/10/2024	13:23:21.864567	0.319600	2.319150	 86.359375	-68.554688	983.582031
23/10/2024	13:23:21.872557	0.327590	2.327140	 86.242188	-68.589844	983.585938
23/10/2024	13:23:21.880547	0.335580	2.335130	 86.367188	-68.589844	983.347656
23/10/2024	13:23:21.888537	0.343570	2.343120	 86.421875	-68.394531	983.488281
23/10/2024	13:23:21.896527	0.351560	2.351110	 86.371094	-68.527344	983.812500
23/10/2024	13:23:21.904517	0.359550	2.359100	 86.570312	-68.714844	983.429688
23/10/2024	13:23:21.912507	0.367540	2.367090	 86.410156	-68.488281	983.417969
23/10/2024	13:23:21.920497	0.375530	2.375080	 86.441406	-68.371094	983.605469
23/10/2024	13:23:21.928487	0.383520	2.383070	 86.531250	-68.285156	983.742188
23/10/2024	13:23:21.936477	0.391510	2.391060	 86.468750	-68.515625	983.460938
23/10/2024	13:23:21.944467	0.399500	2.399050	 86.324219	-68.585938	983.414062
23/10/2024	13:23:21.952457	0.407490	2.407040	 86.414062	-68.414062	983.699219
23/10/2024	13:23:21.960447	0.415480	2.415030	 86.371094	-68.484375	983.726562
23/10/2024	13:23:21.968437	0.423470	2.423020	 86.492188	-68.554688	983.488281
23/10/2024	13:23:21.976427	0.431460	2.431010	 86.460938	-68.500000	983.378906
23/10/2024	13:23:21.984417	0.439450	2.439000	 86.562500	-68.460938	983.535156
23/10/2024	13:23:21.992407	0.447440	2.446990	 86.535156	-68.582031	983.742188
23/10/2024	13:23:22.000397	0.455430	2.454980	 86.476562	-68.703125	983.714844
23/10/2024	13:23:22.008387	0.463420	2.462970	 86.351562	-68.437500	983.433594
23/10/2024	13:23:22.016377	0.471410	2.470960	 86.269531	-68.398438	983.664062
23/10/2024	13:23:22.024367	0.479400	2.478950	 86.421875	-68.425781	983.601562
23/10/2024	13:23:22.032357	0.487390	2.486940	 86.402344	-68.671875	983.375000
23/10/2024	13:23:22.040347	0.495380	2.494930	 86.382812	-68.710938	983.714844
23/10/2024	13:23:22.048337	0.503370	2.502920	 86.437500	-68.621094	983.562500
23/10/2024	13:23:22.056327	0.511360	2.510910	 86.449219	-68.570312	983.359375
23/10/2024	13:23:22.064317	0.519350	2.518900	 86.472656	-68.449219	983.609375
23/10/2024	13:23:22.072307	0.527340	2.526890	 86.312500	-68.503906	983.785156
23/10/2024	13:23:22.080297	0.535330	2.534880	 86.488281	-68.625000	983.542969
23/10/2024	13:23:22.088287	0.543320	2.542870	 86.531250	-68.453125	983.515625
23/10/2024	13:23:22.096277	0.551310	2.550860	 86.378906	-68.546875	983.757812
23/10/2024	13:23:22.104267	0.559300	2.558850	 86.480469	-68.500000	983.636719
23/10/2024	13:23:22.112257	0.567290	2.566840	 86.476562	-68.550781	983.625000
23/10/2024	13:23:22.120247	0.575280	2.574830	 86.414062	-68.468750	983.652344
23/10/2024	13:23:22.128237	0.583270	2.582820	 86.523438	-68.378906	983.550781
23/10/2024	13:23:22.136227	0.591260	2.590810	 86.464844	-68.542969	983.714844
23/10/2024	13:23:22.144217	0.599250	2.598800	 86.425781	-68.699219	983.570312
23/10/2024	13:23:22.152207	0.607240	2.606790	 86.425781	-68.589844	983.445312
23/10/2024	13:23:22.160197	0.615230	2.614780	 86.496094	-68.542969	983.578125
23/10/2024	13:23:22.168187	0.623220	2.622770	 86.457031	-68.609375	983.347656
23/10/2024	13:23:22.176177	0.631210	2.630760	 86.410156	-68.527344	983.410156
23/10/2024	13:23:22.184167	0.639200	2.638750	 86.304688	-68.597656	983.355469
23/10/2024	13:23:22.192157	0.647190	2.646740	 86.203125	-68.625000	983.496094
23/10/2024	13:23:22.200147	0.655180	2.654730	 86.312500	-68.605469	983.511719
23/10/2024	13:23:22.208137	0.663170	2.662720	 86.414062	-68.597656	983.507812
23/10/2024	13:23:22.216127	0.671160	2.670710	 86.304688	-68.550781	983.695312
23/10/2024	13:23:22.224117	0.679150	2.678700	 86.316406	-68.570312	983.640625
23/10/2024	13:23:22.232107	0.687140	2.686690	 86.277344	-68.406250	983.613281
23/10/2024	13:23:22.240097	0.695130	2.694680	 86.460938	-68.328125	983.621094
23/10/2024	13:23:22.248087	0.703120	2.702670	 86.593750	-68.480469	983.375000
23/10/2024	13:23:22.256077	0.711110	2.710660	 86.460938	-68.437500	983.265625
23/10/2024	13:23:22.264067	0.719100	2.718650	 86.429688	-68.457031	983.566406
23/10/2024	13:23:22.272057	0.727090	2.726640	 86.453125	-68.433594	983.796875
23/10/2024	13:23:22.280047	0.735080	2.734630	 86.277344	-68.558594	983.699219
23/10/2024	13:23:22.288037	0.743070	2.742620	 86.445312	-68.628906	983.554688
23/10/2024	13:23:22.296027	0.751060	2.750610	 86.394531	-68.562500	983.718750
23/10/2024	13:23:22.304017	0.759050	2.758600	 86.261719	-68.640625	983.781250
23/10/2024	13:23:22.312007	0.767040	2.766590	 86.468750	-68.554688	983.847656
23/10/2024	13:23:22.319997	0.775030	2.774580	 86.460938	-68.566406	983.781250
23/10/2024	13:23:22.327987	0.783020	2.782570	 86.371094	-68.550781	983.394531
23/10/2024	13:23:22.335977	0.791010	2.790560	 86.437500	-68.613281	983.308594
23/10/2024	13:23:22.343967	0.799000	2.798550	 86.453125	-68.500000	983.640625
