Date	Time	Acc x	Acc y	Acc z
27/03/2024	14:24:03.302986	73.812500	-96.574219	49.386719
27/03/2024	14:24:03.311005	73.457031	-96.359375	49.226562
27/03/2024	14:24:03.319024	73.886719	-97.027344	49.007812
27/03/2024	14:24:03.327043	73.371094	-96.453125	49.437500
27/03/2024	14:24:03.335062	72.910156	-96.210938	49.722656
27/03/2024	14:24:03.343081	72.636719	-96.546875	49.160156
27/03/2024	14:24:03.351100	73.207031	-96.937500	48.746094
27/03/2024	14:24:03.359119	72.460938	-96.281250	49.355469
27/03/2024	14:24:03.367138	72.675781	-96.628906	49.316406
27/03/2024	14:24:03.375157	73.218750	-96.218750	49.406250
27/03/2024	14:24:03.383176	73.300781	-96.605469	49.468750
27/03/2024	14:24:03.391195	72.894531	-97.054688	49.070312
27/03/2024	14:24:03.399214	72.730469	-96.246094	49.433594
27/03/2024	14:24:03.407233	72.964844	-96.687500	49.359375
27/03/2024	14:24:03.415252	73.683594	-96.332031	49.363281
27/03/2024	14:24:03.423271	73.105469	-96.210938	49.238281
27/03/2024	14:24:03.431290	72.402344	-96.347656	49.472656
27/03/2024	14:24:03.439309	72.832031	-96.726562	49.417969
27/03/2024	14:24:03.447328	73.242188	-97.121094	49.242188
27/03/2024	14:24:03.455347	73.585938	-97.125000	49.347656
27/03/2024	14:24:03.463366	73.207031	-96.472656	49.542969
27/03/2024	14:24:03.471385	73.281250	-96.339844	49.191406
27/03/2024	14:24:03.479404	73.332031	-96.144531	49.531250
27/03/2024	14:24:03.487423	73.339844	-95.796875	49.535156
27/03/2024	14:24:03.495442	72.335938	-96.441406	49.316406
27/03/2024	14:24:03.503461	73.285156	-96.500000	49.312500
27/03/2024	14:24:03.511480	72.640625	-96.300781	49.316406
27/03/2024	14:24:03.519499	72.652344	-96.535156	49.292969
27/03/2024	14:24:03.527518	72.855469	-96.484375	49.343750
27/03/2024	14:24:03.535537	72.792969	-96.406250	49.421875
27/03/2024	14:24:03.543556	73.156250	-96.812500	49.109375
27/03/2024	14:24:03.551575	72.511719	-97.085938	49.027344
27/03/2024	14:24:03.559594	72.562500	-96.468750	49.296875
27/03/2024	14:24:03.567613	73.207031	-96.343750	49.382812
27/03/2024	14:24:03.575632	72.621094	-95.566406	49.488281
27/03/2024	14:24:03.583651	73.148438	-95.847656	49.527344
27/03/2024	14:24:03.591670	73.011719	-96.726562	49.097656
27/03/2024	14:24:03.599689	72.281250	-96.707031	49.351562
27/03/2024	14:24:03.607708	72.925781	-96.941406	49.367188
27/03/2024	14:24:03.615727	72.738281	-97.304688	48.734375
27/03/2024	14:24:03.623746	72.691406	-96.175781	49.652344
27/03/2024	14:24:03.631765	72.832031	-96.199219	49.515625
27/03/2024	14:24:03.639784	72.582031	-96.320312	49.480469
27/03/2024	14:24:03.647803	72.539062	-96.675781	49.097656
27/03/2024	14:24:03.655822	73.808594	-96.679688	49.210938
27/03/2024	14:24:03.663841	72.785156	-95.933594	49.609375
27/03/2024	14:24:03.671860	73.152344	-95.648438	49.964844
27/03/2024	14:24:03.679879	73.074219	-96.046875	49.652344
27/03/2024	14:24:03.687898	72.730469	-96.542969	49.449219
27/03/2024	14:24:03.695917	72.921875	-96.125000	49.613281
27/03/2024	14:24:03.703936	72.636719	-96.277344	49.582031
27/03/2024	14:24:03.711955	72.953125	-96.210938	49.519531
27/03/2024	14:24:03.719974	73.429688	-96.437500	49.507812
27/03/2024	14:24:03.727993	73.468750	-97.238281	49.121094
27/03/2024	14:24:03.736012	73.925781	-96.296875	49.531250
27/03/2024	14:24:03.744031	73.433594	-96.449219	49.335938
27/03/2024	14:24:03.752050	73.238281	-96.449219	49.253906
27/03/2024	14:24:03.760069	73.781250	-96.410156	49.398438
27/03/2024	14:24:03.768088	73.160156	-96.230469	49.625000
27/03/2024	14:24:03.776107	72.359375	-95.777344	49.441406
27/03/2024	14:24:03.784126	72.886719	-95.839844	49.433594
27/03/2024	14:24:03.792145	73.710938	-96.042969	49.613281
27/03/2024	14:24:03.800164	73.050781	-96.121094	49.441406
27/03/2024	14:24:03.808183	73.328125	-97.070312	49.207031
27/03/2024	14:24:03.816202	73.074219	-96.652344	49.148438
27/03/2024	14:24:03.824221	73.300781	-96.738281	49.285156
27/03/2024	14:24:03.832240	72.925781	-96.402344	49.445312
27/03/2024	14:24:03.840259	72.425781	-96.425781	49.593750
27/03/2024	14:24:03.848278	72.882812	-97.109375	48.996094
27/03/2024	14:24:03.856297	73.222656	-96.585938	49.136719
27/03/2024	14:24:03.864316	73.769531	-96.285156	49.054688
27/03/2024	14:24:03.872335	73.636719	-96.742188	49.101562
27/03/2024	14:24:03.880354	73.058594	-96.476562	49.476562
27/03/2024	14:24:03.888373	73.074219	-96.511719	49.433594
27/03/2024	14:24:03.896392	73.398438	-96.660156	49.265625
27/03/2024	14:24:03.904411	73.160156	-96.687500	49.433594
27/03/2024	14:24:03.912430	73.097656	-96.355469	49.191406
27/03/2024	14:24:03.920449	73.179688	-96.390625	49.414062
27/03/2024	14:24:03.928468	73.722656	-96.457031	49.343750
27/03/2024	14:24:03.936487	73.523438	-96.500000	49.222656
27/03/2024	14:24:03.944506	73.296875	-96.449219	49.375000
27/03/2024	14:24:03.952525	73.074219	-96.824219	49.414062
27/03/2024	14:24:03.960544	72.300781	-96.511719	49.234375
27/03/2024	14:24:03.968563	73.476562	-95.859375	49.476562
27/03/2024	14:24:03.976582	72.429688	-96.207031	49.273438
27/03/2024	14:24:03.984601	72.500000	-96.097656	49.398438
27/03/2024	14:24:03.992620	73.554688	-97.277344	49.070312
27/03/2024	14:24:04.000639	73.257812	-96.195312	49.410156
27/03/2024	14:24:04.008658	73.277344	-96.085938	49.417969
27/03/2024	14:24:04.016677	72.785156	-96.343750	49.500000
27/03/2024	14:24:04.024696	72.542969	-96.613281	49.378906
27/03/2024	14:24:04.032715	73.933594	-96.296875	49.492188
27/03/2024	14:24:04.040734	74.187500	-96.875000	49.210938
27/03/2024	14:24:04.048753	73.101562	-95.683594	49.695312
27/03/2024	14:24:04.056772	72.679688	-96.667969	49.167969
27/03/2024	14:24:04.064791	73.457031	-96.687500	49.183594
27/03/2024	14:24:04.072810	72.906250	-97.265625	49.101562
27/03/2024	14:24:04.080829	73.066406	-96.667969	49.320312
27/03/2024	14:24:04.088848	73.031250	-96.937500	49.042969
27/03/2024	14:24:04.096867	73.121094	-96.300781	49.417969
27/03/2024	14:24:04.104886	73.335938	-96.265625	49.609375
27/03/2024	14:24:04.112905	73.023438	-96.304688	49.484375
27/03/2024	14:24:04.120924	73.265625	-96.289062	49.449219
27/03/2024	14:24:04.128943	73.085938	-96.074219	49.484375
27/03/2024	14:24:04.136962	73.132812	-96.171875	49.375000
27/03/2024	14:24:04.144981	73.453125	-96.066406	49.281250
27/03/2024	14:24:04.153000	73.652344	-96.437500	49.316406
27/03/2024	14:24:04.161019	73.238281	-95.808594	49.507812
27/03/2024	14:24:04.169038	73.097656	-96.820312	49.398438
27/03/2024	14:24:04.177057	72.640625	-96.664062	49.253906
27/03/2024	14:24:04.185076	72.648438	-96.335938	49.363281
27/03/2024	14:24:04.193095	73.632812	-96.152344	49.574219
27/03/2024	14:24:04.201114	73.496094	-96.273438	49.371094
27/03/2024	14:24:04.209133	73.261719	-96.394531	49.066406
27/03/2024	14:24:04.217152	73.238281	-96.472656	49.367188
27/03/2024	14:24:04.225171	72.945312	-96.601562	49.238281
27/03/2024	14:24:04.233190	72.718750	-96.898438	49.144531
27/03/2024	14:24:04.241209	72.792969	-96.238281	49.250000
27/03/2024	14:24:04.249228	72.867188	-95.652344	49.578125
27/03/2024	14:24:04.257247	72.968750	-96.917969	49.226562
27/03/2024	14:24:04.265266	72.835938	-96.203125	49.507812
27/03/2024	14:24:04.273285	71.648438	-96.988281	49.289062
27/03/2024	14:24:04.281304	72.570312	-96.773438	49.394531
27/03/2024	14:24:04.289323	72.484375	-96.621094	49.320312
27/03/2024	14:24:04.297342	72.847656	-97.441406	48.984375
27/03/2024	14:24:05.305419	72.964844	-96.722656	49.238281
27/03/2024	14:24:05.313438	72.734375	-96.816406	49.265625
27/03/2024	14:24:05.321457	73.511719	-96.917969	49.332031
27/03/2024	14:24:05.329476	73.042969	-96.730469	49.218750
27/03/2024	14:24:05.337495	73.480469	-96.035156	49.484375
27/03/2024	14:24:05.345514	72.851562	-96.160156	49.468750
27/03/2024	14:24:05.353533	73.175781	-96.433594	49.167969
27/03/2024	14:24:05.361552	72.429688	-96.429688	49.296875
27/03/2024	14:24:05.369571	72.968750	-96.402344	49.550781
27/03/2024	14:24:05.377590	72.632812	-96.640625	49.339844
27/03/2024	14:24:05.385609	73.191406	-96.976562	49.382812
27/03/2024	14:24:05.393628	72.761719	-96.675781	49.488281
27/03/2024	14:24:05.401647	72.863281	-96.324219	49.503906
27/03/2024	14:24:05.409666	73.105469	-95.898438	49.621094
27/03/2024	14:24:05.417685	72.695312	-96.488281	49.453125
27/03/2024	14:24:05.425704	72.523438	-96.285156	49.542969
27/03/2024	14:24:05.433723	73.328125	-96.355469	49.222656
27/03/2024	14:24:05.441742	73.480469	-95.886719	49.589844
27/03/2024	14:24:05.449761	73.269531	-96.394531	49.355469
27/03/2024	14:24:05.457780	73.109375	-95.804688	49.542969
27/03/2024	14:24:05.465799	72.761719	-96.324219	49.382812
27/03/2024	14:24:05.473818	72.722656	-96.082031	49.531250
27/03/2024	14:24:05.481837	72.554688	-96.035156	49.539062
27/03/2024	14:24:05.489856	72.726562	-96.160156	49.355469
27/03/2024	14:24:05.497875	72.921875	-96.460938	49.320312
27/03/2024	14:24:05.505894	73.511719	-95.859375	49.492188
27/03/2024	14:24:05.513913	73.929688	-95.792969	49.332031
27/03/2024	14:24:05.521932	73.031250	-96.605469	48.964844
27/03/2024	14:24:05.529951	72.984375	-96.320312	49.234375
27/03/2024	14:24:05.537970	72.851562	-96.273438	49.410156
27/03/2024	14:24:05.545989	72.746094	-96.433594	49.500000
27/03/2024	14:24:05.554008	72.789062	-96.734375	49.257812
27/03/2024	14:24:05.562027	72.925781	-95.988281	49.472656
27/03/2024	14:24:05.570046	72.570312	-96.175781	49.437500
27/03/2024	14:24:05.578065	72.433594	-96.671875	49.000000
27/03/2024	14:24:05.586084	73.531250	-96.222656	49.453125
27/03/2024	14:24:05.594103	74.039062	-95.636719	49.640625
27/03/2024	14:24:05.602122	73.984375	-96.453125	49.136719
27/03/2024	14:24:05.610141	73.257812	-96.097656	49.503906
27/03/2024	14:24:05.618160	72.933594	-96.222656	49.460938
27/03/2024	14:24:05.626179	73.062500	-96.796875	49.101562
27/03/2024	14:24:05.634198	73.375000	-96.566406	49.300781
27/03/2024	14:24:05.642217	72.781250	-96.554688	49.003906
27/03/2024	14:24:05.650236	72.964844	-96.593750	49.292969
27/03/2024	14:24:05.658255	72.585938	-96.808594	49.257812
27/03/2024	14:24:05.666274	73.460938	-96.160156	49.457031
27/03/2024	14:24:05.674293	73.175781	-96.406250	49.324219
27/03/2024	14:24:05.682312	73.253906	-96.519531	49.394531
27/03/2024	14:24:05.690331	73.140625	-96.289062	49.472656
27/03/2024	14:24:05.698350	73.187500	-96.750000	49.253906
27/03/2024	14:24:05.706369	73.117188	-96.554688	49.359375
27/03/2024	14:24:05.714388	72.640625	-96.679688	49.390625
27/03/2024	14:24:05.722407	72.851562	-96.425781	49.601562
27/03/2024	14:24:05.730426	73.363281	-96.316406	49.472656
27/03/2024	14:24:05.738445	73.757812	-96.457031	49.445312
27/03/2024	14:24:05.746464	73.160156	-96.339844	49.535156
27/03/2024	14:24:05.754483	73.125000	-96.855469	49.214844
27/03/2024	14:24:05.762502	73.218750	-96.726562	49.175781
27/03/2024	14:24:05.770521	72.039062	-96.460938	49.359375
