Date	Time	Acc x	Acc y	Acc z
30/04/2024	19:57:12.551894	-0.006789	0.014117	1.003289
30/04/2024	19:57:12.559871	-0.006758	0.014184	1.003078
30/04/2024	19:57:12.567848	-0.006852	0.014113	1.003477
30/04/2024	19:57:12.575825	-0.007012	0.014156	1.003156
30/04/2024	19:57:12.583802	-0.007176	0.013934	1.003094
30/04/2024	19:57:12.591779	-0.007184	0.014020	1.003340
30/04/2024	19:57:12.599756	-0.007051	0.014016	1.003187
30/04/2024	19:57:12.607733	-0.006961	0.014094	1.003516
30/04/2024	19:57:12.615710	-0.006910	0.014027	1.003430
30/04/2024	19:57:12.623687	-0.006676	0.014285	1.003523
30/04/2024	19:57:12.631664	-0.006762	0.014070	1.003410
30/04/2024	19:57:12.639641	-0.006930	0.013953	1.003488
30/04/2024	19:57:12.647618	-0.007133	0.013832	1.003414
30/04/2024	19:57:12.655595	-0.007016	0.013992	1.003281
30/04/2024	19:57:12.663572	-0.007063	0.014020	1.003176
30/04/2024	19:57:12.671549	-0.006723	0.014043	1.003648
30/04/2024	19:57:12.679526	-0.006836	0.014160	1.003750
30/04/2024	19:57:12.687503	-0.006801	0.014367	1.003484
30/04/2024	19:57:12.695480	-0.007047	0.014094	1.003543
30/04/2024	19:57:12.703457	-0.007070	0.014004	1.003391
30/04/2024	19:57:12.711434	-0.007020	0.013961	1.002906
30/04/2024	19:57:12.719411	-0.006883	0.013914	1.003301
30/04/2024	19:57:12.727388	-0.006742	0.013961	1.003602
30/04/2024	19:57:12.735365	-0.006754	0.014266	1.003844
30/04/2024	19:57:12.743342	-0.006902	0.014176	1.003676
30/04/2024	19:57:12.751319	-0.006938	0.014074	1.003293
30/04/2024	19:57:12.759296	-0.007020	0.014195	1.002672
30/04/2024	19:57:12.767273	-0.007082	0.014008	1.003035
30/04/2024	19:57:12.775250	-0.006848	0.014086	1.003250
30/04/2024	19:57:12.783227	-0.006836	0.014078	1.003602
30/04/2024	19:57:12.791204	-0.006773	0.014301	1.003535
30/04/2024	19:57:12.799181	-0.006887	0.014242	1.003176
30/04/2024	19:57:12.807158	-0.007000	0.014281	1.002680
30/04/2024	19:57:12.815135	-0.006988	0.014285	1.002902
30/04/2024	19:57:12.823112	-0.006793	0.014301	1.003137
30/04/2024	19:57:12.831089	-0.006602	0.014418	1.003523
30/04/2024	19:57:12.839066	-0.006523	0.014207	1.003523
30/04/2024	19:57:12.847043	-0.006773	0.014297	1.003832
30/04/2024	19:57:12.855020	-0.006926	0.014293	1.002988
30/04/2024	19:57:12.862997	-0.007008	0.014250	1.003043
30/04/2024	19:57:12.870974	-0.006934	0.014207	1.003250
30/04/2024	19:57:12.878951	-0.006812	0.014313	1.003582
